,appid,english,required_age,achievements,positive_ratings,negative_ratings,average_playtime,median_playtime,price
10713,0.001,1,0,0,295,148,23,24,0.0
10714,0.001,1,0,22,81,6,0,0,0.0
10715,0.001,1,0,22,15,1,0,0,3.99
10716,0.001,1,0,39,219,146,0,0,34.99
10717,0.001,1,0,74,63,35,0,0,0.0
10718,0.001,1,0,0,51,16,0,0,10.99
10719,0.001,1,0,0,3,1,0,0,1.99
10720,0.001,1,0,0,9,3,0,0,7.19
10721,0.001,1,0,19,24,19,0,0,3.99
10722,0.001,1,0,9,75,8,211,211,1.59
10723,0.001,1,0,26,1,2,0,0,10.99
10724,0.001,1,0,48,811,181,142,142,10.29
